PEOE_VSA11,PEOE_VSA3,PEOE_VSA5,SMR_VSA10,TPSA,Value
0.0,14.762494,0.0,28.569765,109.87,7.43
11.499023,14.358372,12.407033,50.74515,59.51,7.52
0.0,9.9679575,0.0,11.635726,55.63,7.72
5.647177,9.499376,0.0,5.647177,51.89,7.49
5.647177,14.762494,0.0,28.830717,130.52,5.52
5.760247,4.9839787,0.0,11.702045,61.85,4.84
0.0,13.139892,0.0,27.53141,63.24,4.82
15.597501,13.401775,0.0,33.14024,81.43,5.12
15.597501,13.401775,0.0,33.14024,81.43,7.3
0.0,13.139892,0.0,62.334232,63.24,6.34
11.499023,19.152908,0.0,57.709293,135.73,5.72
15.597501,13.401775,0.0,21.539299,94.32,4.82
15.597501,13.401775,0.0,27.446478,124.52,6.68
5.817863,28.55484,0.0,34.709755,122.12,7.72
11.499023,14.358372,0.0,38.33812,59.51,7.22
5.817863,23.760303,10.197364,22.929129,119.47,7.77
5.817863,23.760303,10.197364,22.929129,119.47,7.04
0.0,13.139892,0.0,39.13235,63.24,6.46
0.0,13.139892,0.0,43.461353,63.24,6.21
5.817863,28.744282,0.0,22.929129,106.58,8.96
11.499023,19.040174,5.098682,38.33812,86.98,7.3
0.0,13.139892,0.0,39.13235,63.24,6.12
0.0,14.762494,0.0,28.569765,103.88,7.14
5.817863,23.760303,10.197364,22.929129,119.47,8.4
11.499023,14.358372,12.407033,46.416145,68.3,7.22
0.0,13.139892,0.0,33.218796,106.38,4.96
15.597501,18.385754,0.0,21.539299,99.25,6.77
5.760247,13.401775,0.0,21.725336,84.67,5.88
15.597501,17.79219,0.0,21.539299,81.43,6.46
15.597501,13.401775,11.336786,32.876083,81.43,6.59
5.817863,23.760303,10.197364,22.929129,119.47,8.74
5.647177,9.499376,0.0,5.647177,64.78,7.51
11.499023,14.358372,0.0,38.33812,59.51,7.22
0.0,13.139892,0.0,39.13235,63.24,6.68
0.0,17.93443,0.0,45.101654,89.54,5.92
5.647177,9.499376,0.0,5.647177,55.97,6.21
0.0,13.139892,0.0,55.062294,63.24,6.62
0.0,9.9679575,0.0,11.635726,74.09,7.66
15.597501,13.401775,0.0,21.539299,81.43,5.71
0.0,9.9679575,0.0,11.635726,64.86,7.06
0.0,14.762494,0.0,28.569765,117.63,7.33
5.647177,9.499376,0.0,16.983963,39.42,6.41
15.597501,13.401775,0.0,21.539299,94.32,6.43
5.817863,9.499376,0.0,17.02195,62.45,3.32
11.499023,14.358372,0.0,34.009113,68.74,7.3
11.499023,14.358372,0.0,34.009113,56.27,6.0
